,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color Code,,,,,,,,,SFIO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error,,,,,,,,,GPIO
Revision #,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warning,,,,,,,,Boot Device,STRAP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eMMC,UNUSED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ball Locations,,,Pin Muxing,,,,,Allowed Pin Direction,,,,,Pin Groups,,,,,,General,,,POR,Boot Interface,,,Customer Configuration,,,,,,Error Check,,,,,,,,Filled in by Customers,,,,,,,,,,,Sample Usage
Jetson Nano Signal Name,"B01
SODIMM",40 Pin Header,Ball Name,DSC,MID,Unused,GPIO,SFIO0,SFIO1,SFIO2,SFIO3,GPIO,SFIO0,SFIO1,SFIO2,SFIO3,F0,F1,F2,F3,FS,Device Tree Pin Name,Power Rail,Wake,Strap,Pin State,Part of Boot Interface,Interface,Boot Config,Pin Group,SDMMC DAT/CMD,PUPD,Tristate,E_Input,GPIO Init Value,Customer Usage Checker,Initial State Checker,Pin Direction Checker,Wake Checker,Resistor Checker,3.3V Tolerance Enable Checker,Boot Pin Config Checker,Error Checker,Customer Usage,Pin Direction,Req. Initial State,Wake Pin,Lock,3.3V Tolerance Enable,Ext Pull Up Value (?),Ext Pull Down Value (?),Req. Deep Sleep State,IO Block Voltage,Customer Usage    Description or Net Names,
,,,MPIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO,,,AUDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,
GPIO09,211,7,AUD_MCLK,N33,M32,unused_AUD_MCLK,GPIO3_PBB.00,aud_mclk,,,,B,O,,,,AUD,RSVD1,RSVD2,RSVD3,RSVD1,aud_mclk_pbb0,vddio_audio,,,pd,FALSE,,,GPIO_PBB0,,PULL_UP,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PBB.00,Input,Int PU,,,,,,,,GPIO #9 or Audio Codec Master Clock,Expansion Header
